transactID,account,currency,transactType,amount,fee,transactStatus,address,tx,text,timestamp,walletBalance,marginBalance
6901329c-f04a-d9a0-630b-1d6185b5a17f,1501242,XBt,RealisedPNL,-5002147,0,Completed,TRXZ21,3e48588a-65ab-4d61-6741-9f8643c91ade,"",2021-11-26T12:00:00.008Z,6217263521,
52eaa218-4ac0-caa2-7b93-bf7240ed2bdc,1501242,XBt,RealisedPNL,1468995,0,Completed,XBTUSD,3e48588a-65ab-4d61-6741-9f8643c91ade,"",2021-11-26T12:00:00.008Z,6217263521,
a3af6923-3b98-b2e2-ade4-fb2edfedd4f4,1501242,XBt,RealisedPNL,-10918980,0,Completed,XBTUSD,4c970547-2652-a12d-6e39-196ff01cfeba,"",2021-11-25T12:00:00.004Z,6206329146,
6e060018-561d-f038-a4b0-fa674e13a865,1501242,XBt,RealisedPNL,-1052141,0,Completed,LTCUSD,4c970547-2652-a12d-6e39-196ff01cfeba,"",2021-11-25T12:00:00.004Z,6206329146,
671058b4-f580-b2e1-114f-bd17bb7ed68b,1501242,XBt,RealisedPNL,-57520,0,Completed,DOGEUSD,4c970547-2652-a12d-6e39-196ff01cfeba,"",2021-11-25T12:00:00.004Z,6206329146,
62e0c1ae-881a-ae94-21b8-f23d999721dc,1501242,XBt,RealisedPNL,-11145,0,Completed,LUNAUSD,4c970547-2652-a12d-6e39-196ff01cfeba,"",2021-11-25T12:00:00.004Z,6206329146,
57267cbe-81cf-092c-d728-258b2ec604fb,1501242,XBt,RealisedPNL,-126266,0,Completed,XRPUSD,4c970547-2652-a12d-6e39-196ff01cfeba,"",2021-11-25T12:00:00.004Z,6206329146,
3a233712-a6e7-4896-8cd1-ce2d5f0344fe,1501242,XBt,RealisedPNL,3708695,0,Completed,ETHUSD,4c970547-2652-a12d-6e39-196ff01cfeba,"",2021-11-25T12:00:00.004Z,6206329146,
efe3828e-0bc2-f3d5-0ae4-0ec16b346e87,1501242,XBt,RealisedPNL,5913271,0,Completed,ETHZ21,496ff5c1-b2f8-52ed-3082-0be44e13623e,"",2021-11-24T12:00:00.004Z,6214786503,
9234a688-c190-e5ec-c010-0247c2e374c5,1501242,XBt,RealisedPNL,-268420,0,Completed,ETHUSD,496ff5c1-b2f8-52ed-3082-0be44e13623e,"",2021-11-24T12:00:00.004Z,6214786503,
7e7e4fe7-c707-f99e-eefa-9cc68280a98f,1501242,XBt,RealisedPNL,-112724,0,Completed,XRPUSD,496ff5c1-b2f8-52ed-3082-0be44e13623e,"",2021-11-24T12:00:00.004Z,6214786503,
